"","S1.sorted.bam","S2.sorted.bam","S3.sorted.bam","S4.sorted.bam","S5.sorted.bam","S6.sorted.bam"
"497097",2,3,5,4,0,1
"100503874",0,0,0,0,0,0
"100038431",0,0,0,0,0,0
"19888",1,3,4,3,0,1
"20671",0,0,0,0,0,0
"27395",960,811,757,876,863,759
"18777",1225,965,877,996,869,874
"100503730",2,0,0,5,0,2
"21399",1897,1342,1344,1527,1427,1262
"58175",35,43,26,32,24,24
"108664",1455,1031,1121,1345,1189,1031
"18387",0,0,0,0,0,0
"226304",0,0,0,0,0,0
"12421",2033,1592,1419,1740,1401,1507
"620393",1,0,0,1,1,0
"240690",11,8,4,12,1,9
"319263",1563,1217,1174,1277,1176,1136
"71096",0,1,0,1,1,1
"59014",527,399,518,546,517,471
"76187",11,12,15,8,18,11
"72481",4,2,6,3,1,10
"76982",3,2,4,3,1,1
"17864",33,32,18,24,21,28
"70675",914,670,503,816,562,679
"73331",0,0,0,2,1,0
"170755",18,17,20,27,10,16
"620986",3,0,0,0,0,0
"240697",0,0,0,0,2,0
"73824",254,165,201,168,184,161
"266793",2,1,4,1,1,1
"100038398",13,5,8,13,6,5
"100039596",0,0,1,1,1,0
"69312",1,0,0,1,1,0
"26754",2777,2244,2115,2330,2163,2115
"211660",243,202,208,241,174,144
"211673",3163,2366,2049,2770,1931,2286
"329093",24,13,20,8,14,9
"109294",5,4,2,12,1,6
"320492",5,6,7,2,0,2
"329096",0,0,0,0,0,0
"240725",1649,1135,1212,1375,1126,1275
"240726",1489,1143,1083,1167,823,1127
"383491",0,0,0,0,0,0
"17978",1321,1062,793,1207,819,1037
"72265",872,611,686,710,721,699
"212442",799,615,540,708,657,585
"381246",0,0,0,0,0,0
"433273",1,1,1,0,0,0
"14048",151,130,120,171,104,130
"17681",4,6,1,2,8,1
"277328",9,5,3,5,3,3
"98741",5,1,0,2,1,1
"21749",65,64,75,72,69,64
"226866",2,0,0,0,2,0
"665434",0,0,0,0,0,0
"75799",0,0,0,0,0,1
"19989",11325,8931,8916,9980,9760,8429
"98711",137,107,101,138,152,137
"29819",974,781,685,849,699,819
"66799",528,408,415,479,418,404
"67923",1643,1332,1284,1331,1411,1242
"329101",1,0,3,1,4,0
"70397",1260,1074,1129,1175,1014,1027
"17087",43,21,36,34,27,25
"57339",4086,3220,3214,3581,3063,3087
"14545",48,39,36,46,35,46
"94227",228,120,122,177,136,173
"83691",2,2,2,2,4,2
"78081",0,0,0,0,0,0
"654454",0,0,0,0,0,0
"654460",0,0,0,0,0,0
"77673",0,0,0,0,0,0
"654464",0,0,0,0,0,0
"226896",0,0,0,0,0,0
"21419",0,0,0,0,0,0
"241035",1212,853,655,926,584,699
"75028",0,0,0,1,0,0
"387202",6,5,24,5,16,3
"723817",535,341,510,390,382,314
"16171",0,0,0,0,1,0
"257630",0,1,0,0,0,0
"17215",76,58,79,59,54,63
"77741",3,1,0,0,1,1
"74229",331,228,222,224,186,289
"71877",21,16,18,17,14,19
"170829",258,202,209,166,158,211
"75712",25,27,18,26,21,21
"14859",57,47,44,70,57,72
"241041",0,0,0,0,0,0
"368204",0,0,0,0,0,0
"433278",0,0,0,0,0,0
"98582",0,0,0,0,0,0
"226922",177,162,134,216,132,159
"116837",10,3,3,7,9,1
"66755",0,0,0,2,0,0
"387225",0,0,0,0,0,0
"723964",1,1,0,1,0,0
"70155",143,103,122,115,125,88
"100503399",0,0,0,0,0,0
"280645",14,11,9,15,5,8
"98366",408,341,329,364,403,331
"68002",242,186,185,222,196,208
"68187",773,605,536,650,593,637
"12839",1,0,2,2,0,0
"12823",941,627,513,632,515,554
"68421",1435,1130,1107,1163,1104,1093
"210933",5,1,2,3,0,3
"100504323",0,0,0,0,0,0
"210940",0,0,0,0,0,0
"433281",0,0,0,0,0,0
"665903",14,12,14,12,17,6
"210962",0,0,0,2,2,0
"623924",0,0,0,0,0,0
"791350",0,0,0,0,0,0
"213109",2153,1581,1524,1807,1351,1570
"19243",2384,1855,1901,2048,2088,1771
"70988",0,0,0,0,0,0
"266744",0,0,0,0,0,0
"74708",0,0,0,0,0,0
"226957",0,0,0,0,0,0
"624262",0,1,0,0,0,0
"170771",3,0,1,2,1,1
"408192",0,0,0,1,0,0
"408191",1,0,1,1,0,0
"19076",54,40,36,39,47,33
"67503",3,4,6,5,1,1
"19335",189,135,137,170,169,133
"213539",1203,959,1054,1051,1026,1051
"98403",328,248,258,274,231,235
"433287",2,2,2,1,3,1
"320705",24,20,27,24,17,26
"13518",21994,13971,9320,17517,7164,16108
"100628580",2,0,1,5,5,2
"69668",357,269,319,324,353,289
"27993",446,348,351,424,420,340
"52318",171,145,160,176,157,130
"19253",4,4,2,2,0,5
"21755",0,0,0,0,0,0
"12627",0,0,0,0,0,0
"21756",0,0,0,0,0,0
"211383",0,0,1,0,0,2
"241051",0,0,0,0,0,0
"226970",39,29,44,47,27,30
"214469",1718,1269,1295,1565,1365,1209
"226971",1825,1424,1291,1543,1378,1292
"50785",3997,3394,3418,3537,3020,3175
"320011",2875,2201,2007,2579,1866,2313
"214854",18,16,20,21,31,17
"214855",512,440,440,491,422,393
"226976",1296,1083,1063,1201,1022,1012
"214895",1172,909,939,1084,846,947
"94220",909,699,751,744,637,687
"94218",464,396,429,413,402,386
"78321",8391,7098,8107,7776,7861,7401
"109346",338,302,293,332,274,238
"20353",656,453,555,603,589,500
"381337",11,7,7,8,13,7
"12859",3108,2791,2942,3139,3456,2986
"226977",2882,2415,2420,2691,2301,2324
"71166",2,5,3,6,6,4
"22637",144,122,145,163,164,139
"56030",2436,1720,1858,2098,1544,1820
"70853",2,0,1,0,0,0
"12790",2,0,0,3,1,3
"269180",876,710,588,709,587,648
"76178",2761,2352,2184,2454,2059,2082
"67387",390,327,387,386,402,382
"269181",78,47,57,63,38,55
"77633",1,0,1,2,0,0
"100861893",0,0,0,0,0,0
"72097",26,26,23,26,21,16
"100503734",0,0,0,0,0,0
"211484",131,115,151,131,136,104
"623661",194,172,171,184,171,170
"69028",86,62,57,53,59,62
"107734",1004,931,870,1001,975,862
"332427",0,0,0,0,0,0
"69541",0,0,0,0,0,0
"98258",1303,887,995,1089,1038,984
"226982",4684,3479,4133,3951,4355,3415
"56210",464,356,339,379,310,277
"16764",20,7,8,13,8,7
"381338",59,36,33,40,34,48
"98388",66,61,48,69,60,42
"100503760",2,5,3,1,2,2
"433292",0,0,0,0,0,0
"68833",1406,1078,1159,1179,1182,1074
"18143",16,11,17,25,9,8
"114641",5302,4590,4133,4455,4917,4115
"54610",1530,1229,1282,1382,1261,1089
